order_id,customer_id,order_date,order_status,payment_method
ORD-00001,5cedf97a-3e9b-42d1-ad8c-5abfd4173bab,2026-01-31,Completed,PayPal
ORD-00002,45a038b4-349a-4a4b-abe8-b2ed36af133b,2025-05-10,Cancelled,Bank Transfer
ORD-00003,41e9a20b-6e2b-4937-9086-627128ded5ba,2026-02-04,Completed,Credit Card
ORD-00004,bb293aa7-01e9-46a2-a5e2-e6cca86a1e8d,2025-12-31,Pending,PayPal
ORD-00005,ef34723e-a1d8-423e-8044-02bbdb1ea634,2025-11-10,Pending,PayPal
ORD-00006,2c3251e3-b9cd-417b-95d6-f64872ccaf56,2023-05-02,Completed,Credit Card
ORD-00007,32ba7fb1-b7d2-4204-acf4-7f160414974f,2024-04-11,Cancelled,Credit Card
ORD-00008,8845972a-a765-4308-836a-fec335e33dcd,2026-05-23,Pending,Bank Transfer
ORD-00009,c8572412-649a-4872-80e1-35384ddb6a1f,2023-11-27,Completed,Credit Card
ORD-00010,7f05dce7-f18c-4fca-9f3c-c196ea86cb7e,2023-03-29,Completed,Credit Card
ORD-00011,ba9f728e-0521-4819-bc0e-1e67dcfb48ca,2026-01-28,Completed,Bank Transfer
ORD-00012,1ddf698c-f50a-433c-a373-c2096cbca312,2025-05-21,Pending,Credit Card
ORD-00013,f206befa-bc40-45b4-b78a-0e59dadd6632,2023-05-11,Completed,Bank Transfer
ORD-00014,2b6ab732-be50-46c3-aecc-aafc56955f64,2025-02-08,Pending,Credit Card
ORD-00015,15ad4bc5-263d-4def-b705-1bd9df2686b6,2023-12-10,Completed,PayPal
ORD-00016,21e54628-08b3-4d88-87e4-a7fef754cb97,2025-03-16,Pending,Credit Card
ORD-00017,55e9c2e3-bb60-4965-a589-fefb0ea48ff1,2024-01-21,Completed,Credit Card
ORD-00018,51b52d74-0cd1-4710-ab59-5aba88a11296,2026-04-30,Completed,PayPal
ORD-00019,65a9a260-e0ab-498e-b762-eb253a08c07b,2025-08-13,Completed,Bank Transfer
ORD-00020,2a0bc5ef-fdaa-4832-bb78-4a3f095fc2b6,2023-10-04,Pending,Bank Transfer
ORD-00021,c576f93d-f6a3-4c29-8d42-d8aef0ab956e,2026-03-30,Completed,Bank Transfer
ORD-00022,4519d45d-4d09-4ae9-9c93-7725b19e4432,2024-04-04,Pending,PayPal
ORD-00023,68417cb5-223c-4d50-92ce-4628bcdc6921,2023-01-22,Completed,Credit Card
ORD-00024,a89b8052-1fb2-419d-b1fe-c40639753958,2023-09-10,Pending,PayPal
ORD-00025,819477dc-aafb-4e2d-8fa8-9247e8522161,2025-01-17,Pending,PayPal
ORD-00026,48bb16c1-4be6-433e-9b3f-2394595467dc,2025-05-06,Completed,Credit Card
ORD-00027,6cc7f731-38dc-42fe-8089-0cf99be51943,2024-04-19,Pending,Bank Transfer
ORD-00028,91876bd9-f7a0-4dfe-9f4c-3d1e831a772f,2025-12-18,Completed,PayPal
ORD-00029,ee1806aa-0b19-445d-b42f-5ce87325d518,2024-05-25,Cancelled,Credit Card
ORD-00030,ba7cd077-7b59-4ee7-908f-7b5c9a4883b7,2024-11-30,Completed,Credit Card
ORD-00031,0f5330fc-03d1-4bc0-8408-9004b4ba4617,2025-09-02,Completed,Credit Card
ORD-00032,d4f53093-71e4-4738-a5a2-cf60d8013cbd,2023-07-09,Pending,Bank Transfer
